Code,Msoa_name,education_no qualifications,net weekly income,lone_parent_unemployed,work_49hr_more,no_car_in_household,families_with_3plus_kids,child_poverty,overcrowded_houses,limiting_long-term_illness_disability,health_life_expectancy_at_birth,self_harm_hospital_admission,hospital_admission_associated_with_alcohol,regular_smoking_at15,samhi_index.2011,AvPTAI2015,supermarket,fast_food,population_cannot_speak_english
E02000893,Tower Hamlets 030,20.3,840,58.3,611,1506,17.3053152,19.9,22.6,14.2,57.38609,35.9,118.6,4.1,-1.538099838582155,623.2074552238806,0,0,5.1
E02000894,Tower Hamlets 031,11.2,1155,58.7,1490,2285,15.32921811,16.6,25.8,7.7,62.90585,20.5,64.5,5.6,-1.975060926431256,383.5538268156424,0,2,4.6
E02000895,Waltham Forest 001,29.1,740,46.1,380,854,17.70623742,22.2,12.3,20.0,62.752735,31.7,84.3,1.7,-0.8984313573269986,272.6978611111111,0,1,2.0
E02000896,Waltham Forest 002,19.9,950,39.6,677,883,13.17073171,13.3,8.9,16.2,67.40597,32.4,87.7,2.5,-1.396106429682589,225.2448042414356,2,1,1.0
E02000897,Waltham Forest 003,29.3,750,49.3,445,968,17.59776536,22.2,12.1,19.8,61.5664,41,86.8,1.7,-1.418353374924002,239.7853987730061,0,0,2.1
E02000898,Waltham Forest 004,26.3,800,48.0,407,748,14.96598639,16.9,10.9,18.4,64.632305,43.5,84.8,1.6,-1.022393663833283,433.0508243243244,0,0,2.1
E02000899,Waltham Forest 005,25.2,785,36.0,454,814,14.4,18.4,11.5,16.5,63.41496,31.6,82.4,1.7,-1.033750459465868,401.1556901408451,2,0,2.7
E02000900,Waltham Forest 006,26.3,780,49.5,360,873,20.12522361,20.3,14.1,16.7,60.708525,48.2,89.5,1.4,-1.487250943118502,486.9461642857143,3,0,3.2
E02000901,Waltham Forest 007,18.4,975,35.7,597,744,15.56082148,13.6,9.0,15.1,64.085785,29.2,71.5,2.0,-1.813459559778305,453.5830666666667,0,0,1.5
E02000902,Waltham Forest 008,22.0,835,46.9,404,933,20.92050209,20.3,18.7,14.4,62.00148,35.3,74.7,1.4,-1.859364687288897,497.205243697479,0,0,3.6
E02000903,Waltham Forest 009,26.3,730,55.4,377,1264,24.4478294,27.3,21.7,16.9,57.99166,29.4,101.2,1.2,-1.403993211591942,421.9184520547945,0,1,6.5
E02000904,Waltham Forest 010,18.6,905,47.0,446,912,18.12816189,17.6,20.4,12.4,61.22139,34.7,73.4,1.4,-1.92335587705479,610.4505700934579,0,0,4.4
E02000905,Waltham Forest 011,19.7,820,47.7,442,1396,19.1376702,15.3,21.1,13.5,64.1008,31.5,78.2,1.3,-1.243772161145087,395.1250460526316,1,0,6.7
E02000906,Waltham Forest 012,20.7,790,48.3,444,1729,20.29548989,20.9,22.0,12.8,61.189295,22.2,82.7,1.3,-1.648895265657775,622.8339173553719,0,0,7.2
E02000907,Waltham Forest 013,24.7,635,53.8,376,2140,25.94936709,25.0,31.8,16.3,59.746475,39.9,120.7,1.2,-0.8894721444547932,430.2111059322034,1,0,6.7
E02000908,Waltham Forest 014,18.0,785,45.1,602,2192,15.98455598,20.8,29.2,12.7,57.81684,25.7,80.9,1.3,-1.565472008734914,264.9207154811716,1,0,6.7
E02000909,Waltham Forest 015,16.8,880,42.4,543,1389,15.42416452,15.9,20.3,13.2,63.63525,37.8,78.7,1.4,-1.352264996978512,212.5059101796407,0,0,4.2
E02000910,Waltham Forest 016,17.3,815,51.7,617,2020,16.76646707,17.3,26.4,14.4,60.286475,26.1,88.1,1.1,-0.9366059970737958,215.2844200567644,1,0,7.9
E02000911,Waltham Forest 017,19.4,760,49.7,526,2269,19.30555556,21.4,30.8,13.4,59.889995,28,89.7,1.1,-1.514656058088645,205.1218690476191,5,4,7.7
E02000912,Waltham Forest 018,23.0,800,46.6,404,1384,25.71202532,19.7,23.6,15.7,57.658485,14.3,82.6,1.1,-1.296439245608194,324.717527607362,0,0,8.1
E02000913,Waltham Forest 019,19.4,850,48.8,467,1150,23.51797862,15.8,20.9,14.4,61.07931,21.4,91.7,1.1,-1.705745004349837,205.8401151515152,2,0,6.6
E02000914,Waltham Forest 020,23.0,670,56.5,364,1992,25.67272727,25.0,37.1,15.7,58.978135,41.5,113.1,0.9,-1.61703585690444,165.8504195402299,1,1,10.8
E02000915,Waltham Forest 021,16.6,910,45.3,614,1473,16.48471616,14.0,25.7,13.7,60.61534,24.8,89.5,1.3,-1.202307670858357,165.6702597402598,1,1,4.3
E02000916,Waltham Forest 022,21.7,760,45.7,380,1708,18.58887381,19.9,29.1,12.1,62.70507,31.5,110.0,1.1,-1.322972117856165,471.7922747252748,1,0,8.6
E02000917,Waltham Forest 023,16.0,845,34.0,444,1655,19.1626409,11.9,28.1,10.5,60.719785,17.1,85.2,1.3,-1.635988117096721,663.3904859154931,0,0,7.8
E02000918,Waltham Forest 024,16.8,820,49.5,558,1730,17.60435572,18.1,31.2,12.7,61.269975,33.3,84.6,1.3,-1.935757660149159,239.1394981060606,1,6,5.6
E02000919,Waltham Forest 025,16.9,915,45.8,528,1601,18.9,12.4,28.6,12.4,60.006615,21.5,74.0,1.2,-1.881928105697031,203.8825,0,0,7.8
E02000920,Waltham Forest 026,18.8,750,51.5,419,1837,21.02519548,22.2,32.2,14.0,55.92515,46,86.7,1.0,-1.768852770188693,344.5250984455959,3,2,7.2
E02000921,Waltham Forest 027,20.0,720,55.0,475,2200,24.28958051,23.3,32.4,14.1,55.48013,36.1,104.2,1.1,-1.442413054877417,158.7887044334975,1,2,6.5
E02000922,Waltham Forest 028,18.3,780,41.3,483,1725,20.03081664,18.7,27.7,12.8,57.866085,24.2,95.6,1.1,-1.435506346204221,751.4883237410071,0,0,8.3
E02000923,Wandsworth 001,9.0,1155,37.0,1294,1610,12.30283912,11.1,18.5,10.7,69.141135,21.8,77.6,6.6,-1.548020295858361,547.3043333333334,0,0,1.5
E02000924,Wandsworth 002,13.6,845,52.1,1324,3446,15.65703635,28.1,35.4,11.9,61.41592,38.6,104.6,3.4,-1.569740168736342,140.7905728770596,1,0,3.6
E02000925,Wandsworth 003,17.6,810,49.7,775,1999,19.65020576,27.3,27.0,14.6,58.400045,52.6,122.6,3.5,-0.9802108530092182,608.0137071428571,0,0,2.4
E02000926,Wandsworth 004,9.9,1135,49.8,1472,1963,15.25658807,18.8,24.3,9.8,66.609785,27.8,77.7,4.5,-1.611874384829486,198.5322125,2,0,1.6
E02000927,Wandsworth 005,17.0,1035,54.9,927,1664,13.44262295,24.4,17.7,14.1,60.172105,75.9,129.4,3.5,-1.391819706510519,236.3263465909091,0,1,0.9
E02000928,Wandsworth 006,7.5,1445,39.8,1414,1236,16.30804077,5.7,10.2,8.6,71.556665,27,64.4,8.4,-1.791783255058827,350.5124358974359,1,0,0.6
E02000929,Wandsworth 007,21.9,700,49.5,422,2201,18.63488624,33.5,32.7,15.3,57.411675,72.8,166.0,2.9,-1.207818324286488,429.8335185185185,0,0,3.0
E02000930,Wandsworth 008,7.7,1350,46.5,1742,2230,10.62416999,12.6,20.2,8.5,64.428085,17.6,79.5,5.5,-1.981468125948369,635.670536800785,5,4,1.0
E02000931,Wandsworth 009,5.3,1700,33.8,1818,1294,14.40377804,3.4,12.5,6.4,69.286705,11.1,65.2,8.8,-2.053091123257376,281.4541830985916,0,1,0.7
E02000932,Wandsworth 010,5.1,1625,43.9,2065,2055,12.6778784,8.5,19.9,6.3,69.19008,24.1,79.3,7.8,-1.863323499785078,195.435875,6,9,1.2
E02000933,Wandsworth 011,9.2,1305,45.2,1322,1398,19.12632822,8.0,16.0,10.3,69.575635,62.3,67.1,7.8,-1.755441570442757,308.7425654383736,1,1,1.2
E02000934,Wandsworth 012,8.7,1290,39.6,1632,2170,11.01573677,11.9,21.0,9.0,61.934145,22,76.3,6.1,-1.883975051059358,511.336372,5,6,1.2
E02000935,Wandsworth 013,18.7,680,57.4,286,1432,19.47115385,31.9,25.2,15.8,58.11819,93.3,132.6,3.5,-1.109437679889119,307.6297378640776,0,0,4.1
