station_origin,station_destination,flows
Abbey Road,Bank and Monument,0
Abbey Road,Beckton,1
Abbey Road,Blackwall,3
Abbey Road,Canary Wharf,1
Abbey Road,Canning Town,37
Abbey Road,Crossharbour,1
Abbey Road,Custom House,0
Abbey Road,Cutty Sark,2
Abbey Road,Cyprus,7
Abbey Road,Devons Road,1
Abbey Road,East India,2
Abbey Road,Island Gardens,2
Abbey Road,King George V,5
Abbey Road,Langdon Park,8
Abbey Road,Lewisham,0
Abbey Road,Limehouse,2
Abbey Road,London City Airport,4
Abbey Road,Pontoon Dock,8
Abbey Road,Poplar,0
Abbey Road,Prince Regent,1
Abbey Road,Royal Albert,4
Abbey Road,Shadwell,1
Abbey Road,South Quay,7
Abbey Road,Star Lane,7
Abbey Road,Stratford,285
Abbey Road,Stratford High Street,10
Abbey Road,Stratford International,33
Abbey Road,West Ham,130
Abbey Road,West Silvertown,2
Abbey Road,Westferry,3
Abbey Road,Woolwich Arsenal,32
Acton Central,Barking,0
Acton Central,Blackhorse Road,0
Acton Central,Brondesbury,76
Acton Central,Brondesbury Park,31
Acton Central,Bushey,0
Acton Central,Caledonian Road & Barnsbury,22
Acton Central,Camden Road,52
Acton Central,Canada Water,0
Acton Central,Canonbury,3
Acton Central,Carpenders Park,0
Acton Central,Crouch Hill,2
Acton Central,Dalston Kingsland,5
Acton Central,Denmark Hill,0
Acton Central,Edmonton Green,0
Acton Central,Euston,17
Acton Central,Finchley Road & Frognal,52
Acton Central,Gospel Oak,18
Acton Central,Gunnersbury,102
Acton Central,Hackney Central,10
Acton Central,Hackney Wick,5
Acton Central,Haggerston,2
Acton Central,Hampstead Heath,59
Acton Central,Harlesden,0
Acton Central,Harringay Green Lanes,3
Acton Central,Harrow & Wealdstone,3
Acton Central,Hatch End,0
Acton Central,Headstone Lane,4
Acton Central,Highams Park,0
Acton Central,Highbury & Islington,49
Acton Central,Homerton,3
Acton Central,Hoxton,4
Acton Central,Kensal Green,0
Acton Central,Kensal Rise,39
Acton Central,Kentish Town West,54
Acton Central,Kenton,2
Acton Central,Kew Gardens,18
Acton Central,Kilburn High Road,0
Acton Central,Leyton Midland Road,0
Acton Central,Leytonstone High Road,0
Acton Central,New Cross,1
Acton Central,New Cross Gate,0
Acton Central,North Wembley,0
Acton Central,Queen's Park,0
Acton Central,Richmond,318
Acton Central,Shadwell,0
Acton Central,Shoreditch High Street,4
Acton Central,South Acton,7
Acton Central,South Hampstead,3
Acton Central,South Kenton,0
Acton Central,South Tottenham,0
Acton Central,Stonebridge Park,0
Acton Central,Stratford,11
Acton Central,Surrey Quays,0
Acton Central,Upper Holloway,4
Acton Central,Watford High Street,3
Acton Central,Watford Junction,5
Acton Central,Wembley Central,1
Acton Central,West Hampstead,141
Acton Central,White Hart Lane,0
Acton Central,Whitechapel,1
Acton Central,Willesden Junction,90
Acton Central,Woodgrange Park,0
Acton Main Line,Ealing Broadway,35
Acton Main Line,Hayes & Harlington,13
Acton Main Line,Paddington,319
Acton Main Line,Southall,16
Acton Main Line,West Ealing,5
Acton Town,Aldgate,3
Acton Town,Aldgate East,17
Acton Town,Alperton,35
Acton Town,Amersham,0
Acton Town,Angel,11
Acton Town,Archway,1
Acton Town,Arnos Grove,1
Acton Town,Arsenal,0
Acton Town,Baker Street,19
Acton Town,Balham,0
Acton Town,Bank and Monument,66
Acton Town,Barbican,9
Acton Town,Barking,1
Acton Town,Barkingside,0
Acton Town,Barons Court,84
Acton Town,Bayswater,3
Acton Town,Becontree,0
Acton Town,Belsize Park,0
Acton Town,Bermondsey,6
Acton Town,Bethnal Green,2
Acton Town,Blackfriars,39
Acton Town,Blackhorse Road,0
Acton Town,Bond Street,27
Acton Town,Borough,1
Acton Town,Boston Manor,62
Acton Town,Bounds Green,1
Acton Town,Bow Road,1
Acton Town,Brixton,16
Acton Town,Bromley-by-Bow,2
Acton Town,Burnt Oak,0
Acton Town,Caledonian Road,2
Acton Town,Camden Town,3
Acton Town,Canada Water,11
Acton Town,Canary Wharf,57
Acton Town,Canning Town,3
Acton Town,Cannon Street,18
Acton Town,Canons Park,0
Acton Town,Chalfont & Latimer,0
Acton Town,Chalk Farm,0
Acton Town,Chancery Lane,20
Acton Town,Charing Cross,5
Acton Town,Chiswick Park,20
Acton Town,Chorleywood,1
Acton Town,Clapham Common,3
Acton Town,Clapham North,1
Acton Town,Clapham South,2
Acton Town,Cockfosters,0
Acton Town,Colindale,0
Acton Town,Colliers Wood,0
Acton Town,Covent Garden,44
Acton Town,Croxley,0
Acton Town,Dagenham East,0
Acton Town,Dagenham Heathway,0
Acton Town,Dollis Hill,0
Acton Town,Ealing Broadway,107
Acton Town,Ealing Common,13
Acton Town,Earl's Court,129
Acton Town,East Acton,2
Acton Town,East Finchley,0
Acton Town,East Ham,1
Acton Town,East Putney,13
Acton Town,Eastcote,2
Acton Town,Edgware,1
Acton Town,Edgware Road,12
Acton Town,Elephant & Castle,20
Acton Town,Embankment,16
Acton Town,Euston,14
Acton Town,Euston Square,3
Acton Town,Farringdon,19
Acton Town,Finchley Central,1
Acton Town,Finchley Road,0
Acton Town,Finsbury Park,7
Acton Town,Fulham Broadway,41
Acton Town,Gants Hill,0
Acton Town,Gloucester Road,62
Acton Town,Golders Green,1
Acton Town,Goldhawk Road,0
Acton Town,Goodge Street,14
Acton Town,Great Portland Street,10
Acton Town,Green Park,79
Acton Town,Greenford,2
Acton Town,Gunnersbury,0
Acton Town,Hammersmith,391
Acton Town,Hampstead,0
Acton Town,Harrow-on-the-Hill,6
Acton Town,Hatton Cross,62
Acton Town,Heathrow Terminal 4,10
Acton Town,Heathrow Terminal 5,18
Acton Town,Heathrow Terminals 123,44
Acton Town,Hendon Central,0
Acton Town,High Street Kensington,16
Acton Town,Highbury & Islington,4
Acton Town,Highgate,1
Acton Town,Hillingdon,0
Acton Town,Holborn,117
Acton Town,Holland Park,0
Acton Town,Holloway Road,7
Acton Town,Hounslow Central,42
Acton Town,Hounslow East,55
Acton Town,Hounslow West,20
Acton Town,Hyde Park Corner,34
Acton Town,Ickenham,0
Acton Town,Kennington,2
Acton Town,Kentish Town,1
Acton Town,Kew Gardens,4
Acton Town,Kilburn,0
Acton Town,King's Cross St. Pancras,64
Acton Town,Kingsbury,0
Acton Town,Knightsbridge,64
Acton Town,Ladbroke Grove,9
Acton Town,Lambeth North,6
Acton Town,Lancaster Gate,1
Acton Town,Latimer Road,6
Acton Town,Leicester Square,52
Acton Town,Leyton,0
Acton Town,Leytonstone,0
Acton Town,Liverpool Street,55
Acton Town,London Bridge,39
Acton Town,Manor House,1
Acton Town,Mansion House,41
Acton Town,Marble Arch,1
Acton Town,Marylebone,1
Acton Town,Mile End,3
Acton Town,Mill Hill East,2
Acton Town,Moorgate,14
Acton Town,Morden,0
Acton Town,Mornington Crescent,5
Acton Town,Newbury Park,0
Acton Town,North Acton,3
Acton Town,North Ealing,20
Acton Town,North Greenwich,13
Acton Town,Northfields,30
Acton Town,Northolt,1
Acton Town,Northwick Park,3
Acton Town,Northwood,2
Acton Town,Northwood Hills,1
Acton Town,Notting Hill Gate,7
Acton Town,Oakwood,0
Acton Town,Old Street,28
Acton Town,Osterley,22
Acton Town,Oval,1
Acton Town,Oxford Circus,38
Acton Town,Paddington,31
Acton Town,Park Royal,39
Acton Town,Parsons Green,29
Acton Town,Perivale,1
Acton Town,Piccadilly Circus,85
Acton Town,Pimlico,10
Acton Town,Pinner,0
Acton Town,Plaistow,2
Acton Town,Preston Road,0
Acton Town,Putney Bridge,21
Acton Town,Queensbury,0
Acton Town,Ravenscourt Park,43
Acton Town,Rayners Lane,4
Acton Town,Redbridge,0
Acton Town,Regent's Park,10
Acton Town,Richmond,33
Acton Town,Rickmansworth,0
Acton Town,Royal Oak,9
Acton Town,Ruislip,1
Acton Town,Ruislip Manor,0
Acton Town,Russell Square,44
Acton Town,Seven Sisters,6
Acton Town,Shepherd's Bush,0
Acton Town,Shepherd's Bush Market,1
Acton Town,Sloane Square,34
Acton Town,South Ealing,21
Acton Town,South Harrow,12
Acton Town,South Kensington,131
Acton Town,South Ruislip,0
Acton Town,South Woodford,0
Acton Town,Southfields,15
Acton Town,Southgate,1
Acton Town,Southwark,32
Acton Town,St. James's Park,64
Acton Town,St. John's Wood,2
Acton Town,St. Paul's,27
Acton Town,Stamford Brook,13
Acton Town,Stepney Green,2
Acton Town,Stockwell,2
Acton Town,Stratford,10
Acton Town,Sudbury Hill,15
Acton Town,Sudbury Town,13
Acton Town,Swiss Cottage,3
Acton Town,Temple,15
Acton Town,Tooting Bec,1
Acton Town,Tooting Broadway,3
Acton Town,Tottenham Court Road,10
Acton Town,Tottenham Hale,4
Acton Town,Totteridge & Whetstone,1
Acton Town,Tower Hill,28
Acton Town,Tufnell Park,1
Acton Town,Turnham Green,20
Acton Town,Turnpike Lane,3
Acton Town,Upminster,0
Acton Town,Upney,0
Acton Town,Upton Park,0
Acton Town,Uxbridge,41
Acton Town,Vauxhall,21
Acton Town,Victoria,53
Acton Town,Walthamstow Central,1
Acton Town,Warren Street,25
Acton Town,Waterloo,32
Acton Town,Watford,1
Acton Town,Wembley Park,1
Acton Town,West Acton,3
Acton Town,West Brompton,17
Acton Town,West Ham,0
Acton Town,West Hampstead,1
Acton Town,West Harrow,0
Acton Town,West Kensington,14
Acton Town,Westbourne Park,9
Acton Town,Westminster,33
Acton Town,White City,3
Acton Town,Whitechapel,10
Acton Town,Willesden Green,0
Acton Town,Wimbledon,77
Acton Town,Wimbledon Park,3
Acton Town,Wood Green,6
Acton Town,Wood Lane,9
Acton Town,Woodford,0
Acton Town,Woodside Park,0
Aldgate,Acton Town,0
Aldgate,Aldgate East,0
Aldgate,Amersham,0
Aldgate,Angel,17
Aldgate,Archway,2
Aldgate,Arnos Grove,0
Aldgate,Arsenal,2
Aldgate,Baker Street,167
Aldgate,Balham,0
Aldgate,Bank and Monument,5
Aldgate,Barbican,221
Aldgate,Barking,0
Aldgate,Barkingside,0
Aldgate,Barons Court,0
Aldgate,Bayswater,1
Aldgate,Belsize Park,1
Aldgate,Bermondsey,0
Aldgate,Bethnal Green,0
Aldgate,Blackfriars,11
Aldgate,Blackhorse Road,2
Aldgate,Bond Street,13
Aldgate,Borough,1
Aldgate,Boston Manor,0
Aldgate,Bounds Green,2
Aldgate,Bow Road,0
Aldgate,Brent Cross,0
Aldgate,Brixton,2
Aldgate,Buckhurst Hill,0
Aldgate,Burnt Oak,0
Aldgate,Caledonian Road,10
Aldgate,Camden Town,8
Aldgate,Canada Water,0
Aldgate,Canary Wharf,1
Aldgate,Canning Town,0
Aldgate,Cannon Street,4
Aldgate,Canons Park,2
Aldgate,Chalfont & Latimer,1
Aldgate,Chalk Farm,1
Aldgate,Chancery Lane,5
Aldgate,Charing Cross,0
Aldgate,Chesham,0
Aldgate,Chigwell,0
Aldgate,Chorleywood,0
Aldgate,Clapham Common,0
Aldgate,Clapham North,0
Aldgate,Clapham South,1
Aldgate,Cockfosters,1
Aldgate,Colindale,4
Aldgate,Colliers Wood,0
Aldgate,Covent Garden,2
Aldgate,Croxley,0
Aldgate,Debden,0
Aldgate,Dollis Hill,4
Aldgate,Ealing Broadway,0
Aldgate,Ealing Common,0
Aldgate,Earl's Court,2
Aldgate,East Acton,4
Aldgate,East Finchley,0
Aldgate,East Ham,0
Aldgate,East Putney,0
Aldgate,Eastcote,2
Aldgate,Edgware,0
Aldgate,Edgware Road,25
Aldgate,Elephant & Castle,1
Aldgate,Embankment,14
Aldgate,Epping,0
Aldgate,Euston,4
Aldgate,Euston Square,353
Aldgate,Fairlop,0
Aldgate,Farringdon,677
Aldgate,Finchley Central,1
Aldgate,Finchley Road,30
Aldgate,Finsbury Park,8
Aldgate,Fulham Broadway,0
Aldgate,Gants Hill,0
Aldgate,Gloucester Road,0
Aldgate,Golders Green,1
Aldgate,Goldhawk Road,0
Aldgate,Goodge Street,0
Aldgate,Great Portland Street,228
Aldgate,Green Park,3
Aldgate,Greenford,0
Aldgate,Gunnersbury,0
Aldgate,Hainault,1
Aldgate,Hammersmith,2
Aldgate,Hampstead,2
Aldgate,Hanger Lane,0
Aldgate,Harlesden,1
Aldgate,Harrow & Wealdstone,0
Aldgate,Harrow-on-the-Hill,22
Aldgate,Hatton Cross,0
Aldgate,Heathrow Terminal 4,0
Aldgate,Heathrow Terminal 5,1
Aldgate,Heathrow Terminals 123,3
Aldgate,Hendon Central,2
Aldgate,High Barnet,0
Aldgate,High Street Kensington,18
Aldgate,Highbury & Islington,1
Aldgate,Highgate,1
Aldgate,Hillingdon,1
Aldgate,Holborn,19
Aldgate,Holland Park,3
Aldgate,Holloway Road,8
Aldgate,Hounslow Central,0
Aldgate,Hounslow East,0
Aldgate,Hounslow West,0
Aldgate,Hyde Park Corner,1
Aldgate,Ickenham,0
Aldgate,Kennington,0
Aldgate,Kensal Green,0
Aldgate,Kentish Town,1
Aldgate,Kew Gardens,0
Aldgate,Kilburn,1
Aldgate,Kilburn Park,1
Aldgate,King's Cross St. Pancras,351
Aldgate,Kingsbury,2
Aldgate,Knightsbridge,1
Aldgate,Ladbroke Grove,9
Aldgate,Lambeth North,0
Aldgate,Lancaster Gate,0
Aldgate,Latimer Road,4
Aldgate,Leicester Square,1
Aldgate,Leyton,0
Aldgate,Leytonstone,0
Aldgate,Liverpool Street,67
Aldgate,London Bridge,2
Aldgate,Loughton,0
Aldgate,Maida Vale,2
Aldgate,Manor House,6
Aldgate,Mansion House,5
Aldgate,Marble Arch,5
Aldgate,Marylebone,3
Aldgate,Mile End,0
Aldgate,Mill Hill East,0
Aldgate,Moor Park,0
Aldgate,Moorgate,112
Aldgate,Morden,0
Aldgate,Mornington Crescent,0
Aldgate,Neasden,1
Aldgate,Newbury Park,0
Aldgate,North Acton,1
Aldgate,North Greenwich,0
Aldgate,North Harrow,2
Aldgate,North Wembley,0
Aldgate,Northfields,0
Aldgate,Northolt,0
Aldgate,Northwick Park,20
Aldgate,Northwood,2
Aldgate,Northwood Hills,1
Aldgate,Notting Hill Gate,7
Aldgate,Oakwood,0
Aldgate,Old Street,8
Aldgate,Osterley,0
Aldgate,Oval,1
Aldgate,Oxford Circus,15
Aldgate,Paddington,73
Aldgate,Parsons Green,0
Aldgate,Perivale,0
Aldgate,Piccadilly Circus,4
Aldgate,Pimlico,0
Aldgate,Pinner,1
Aldgate,Plaistow,0
Aldgate,Preston Road,5
Aldgate,Putney Bridge,0
Aldgate,Queen's Park,4
Aldgate,Queensbury,0
Aldgate,Queensway,0
Aldgate,Rayners Lane,1
Aldgate,Redbridge,0
Aldgate,Richmond,0
Aldgate,Rickmansworth,3
Aldgate,Royal Oak,3
Aldgate,Ruislip,1
Aldgate,Ruislip Gardens,0
Aldgate,Ruislip Manor,1
Aldgate,Russell Square,7
Aldgate,Seven Sisters,2
Aldgate,Shepherd's Bush,2
Aldgate,Shepherd's Bush Market,3
Aldgate,Sloane Square,6
Aldgate,Snaresbrook,0
Aldgate,South Ealing,0
Aldgate,South Harrow,0
Aldgate,South Kensington,10
Aldgate,South Kenton,0
Aldgate,South Ruislip,0
Aldgate,South Wimbledon,0
Aldgate,South Woodford,0
Aldgate,Southfields,0
Aldgate,Southgate,1
Aldgate,Southwark,0
Aldgate,St. James's Park,15
Aldgate,St. John's Wood,1
Aldgate,St. Paul's,4
Aldgate,Stamford Brook,0
Aldgate,Stanmore,4
Aldgate,Stepney Green,0
Aldgate,Stockwell,0
Aldgate,Stonebridge Park,0
Aldgate,Stratford,6
Aldgate,Sudbury Hill,0
Aldgate,Sudbury Town,0
Aldgate,Swiss Cottage,2
Aldgate,Temple,8
Aldgate,Tooting Bec,0
Aldgate,Tooting Broadway,1
Aldgate,Tottenham Court Road,14
Aldgate,Tottenham Hale,0
Aldgate,Totteridge & Whetstone,0
Aldgate,Tower Hill,4
Aldgate,Tufnell Park,0
Aldgate,Turnham Green,0
Aldgate,Turnpike Lane,2
Aldgate,Upton Park,0
Aldgate,Uxbridge,29
Aldgate,Vauxhall,3
Aldgate,Victoria,5
Aldgate,Walthamstow Central,0
Aldgate,Wanstead,0
Aldgate,Warren Street,0
Aldgate,Warwick Avenue,2
Aldgate,Waterloo,3
Aldgate,Watford,2
Aldgate,Wembley Central,0
Aldgate,Wembley Park,40
Aldgate,West Acton,0
Aldgate,West Brompton,0
Aldgate,West Finchley,0
Aldgate,West Ham,0
Aldgate,West Hampstead,9
Aldgate,West Harrow,2
Aldgate,West Kensington,0
Aldgate,West Ruislip,0
Aldgate,Westbourne Park,6
Aldgate,Westminster,14
Aldgate,White City,2
Aldgate,Whitechapel,2
Aldgate,Willesden Green,5
Aldgate,Willesden Junction,1
Aldgate,Wimbledon,0
Aldgate,Wood Green,4
Aldgate,Wood Lane,8
Aldgate,Woodford,0
Aldgate,Woodside Park,0
Aldgate East,Acton Town,2
Aldgate East,Aldgate,0
Aldgate East,Alperton,0
Aldgate East,Amersham,0
Aldgate East,Angel,20
Aldgate East,Archway,4
Aldgate East,Arnos Grove,0
Aldgate East,Arsenal,0
Aldgate East,Baker Street,45
Aldgate East,Balham,2
Aldgate East,Bank and Monument,95
Aldgate East,Barbican,45
Aldgate East,Barking,15
Aldgate East,Barkingside,0
Aldgate East,Barons Court,7
Aldgate East,Bayswater,0
Aldgate East,Becontree,0
Aldgate East,Belsize Park,2
Aldgate East,Bermondsey,0
Aldgate East,Bethnal Green,0
Aldgate East,Blackfriars,165
Aldgate East,Blackhorse Road,1
Aldgate East,Bond Street,39
Aldgate East,Borough,7
Aldgate East,Boston Manor,2
Aldgate East,Bounds Green,0
Aldgate East,Bow Road,16
Aldgate East,Brent Cross,0
Aldgate East,Brixton,5
Aldgate East,Bromley-by-Bow,18
Aldgate East,Buckhurst Hill,0
Aldgate East,Burnt Oak,1
Aldgate East,Caledonian Road,3
Aldgate East,Camden Town,16
Aldgate East,Canada Water,0
Aldgate East,Canary Wharf,3
Aldgate East,Canning Town,5
Aldgate East,Cannon Street,85
Aldgate East,Canons Park,0
Aldgate East,Chalk Farm,4
Aldgate East,Chancery Lane,9
Aldgate East,Charing Cross,1
Aldgate East,Chigwell,0
Aldgate East,Chiswick Park,4
Aldgate East,Clapham Common,3
Aldgate East,Clapham North,2
Aldgate East,Clapham South,1
Aldgate East,Cockfosters,0
Aldgate East,Colindale,2
Aldgate East,Colliers Wood,0
Aldgate East,Covent Garden,3
Aldgate East,Dagenham East,2
Aldgate East,Dagenham Heathway,2
Aldgate East,Debden,2
Aldgate East,Dollis Hill,1
Aldgate East,Ealing Broadway,3
Aldgate East,Ealing Common,0
Aldgate East,Earl's Court,21
Aldgate East,East Acton,1
Aldgate East,East Finchley,0
Aldgate East,East Ham,14
Aldgate East,East Putney,9
Aldgate East,Eastcote,0
Aldgate East,Edgware,0
Aldgate East,Edgware Road,20
Aldgate East,Elephant & Castle,18
Aldgate East,Elm Park,0
Aldgate East,Embankment,131
Aldgate East,Epping,0
Aldgate East,Euston,13
Aldgate East,Euston Square,105
Aldgate East,Fairlop,0
Aldgate East,Farringdon,140
Aldgate East,Finchley Central,4
Aldgate East,Finchley Road,1
Aldgate East,Finsbury Park,2
Aldgate East,Fulham Broadway,9
Aldgate East,Gants Hill,0
Aldgate East,Gloucester Road,20
Aldgate East,Golders Green,1
Aldgate East,Goldhawk Road,4
Aldgate East,Goodge Street,13
Aldgate East,Grange Hill,0
Aldgate East,Great Portland Street,30
Aldgate East,Green Park,46
Aldgate East,Greenford,0
Aldgate East,Gunnersbury,14
Aldgate East,Hainault,0
Aldgate East,Hammersmith,37
Aldgate East,Hampstead,2
Aldgate East,Hanger Lane,1
Aldgate East,Harlesden,2
Aldgate East,Harrow & Wealdstone,0
Aldgate East,Harrow-on-the-Hill,0
Aldgate East,Hatton Cross,3
Aldgate East,Heathrow Terminal 4,1
Aldgate East,Heathrow Terminal 5,4
Aldgate East,Heathrow Terminals 123,9
Aldgate East,Hendon Central,4
Aldgate East,High Barnet,0
Aldgate East,High Street Kensington,10
Aldgate East,Highbury & Islington,0
Aldgate East,Highgate,1
Aldgate East,Hillingdon,0
Aldgate East,Holborn,50
Aldgate East,Holland Park,1
Aldgate East,Holloway Road,3
Aldgate East,Hornchurch,1
Aldgate East,Hounslow Central,0
Aldgate East,Hounslow East,1
Aldgate East,Hounslow West,1
Aldgate East,Hyde Park Corner,2
Aldgate East,Kennington,2
Aldgate East,Kensal Green,0
Aldgate East,Kensington,0
Aldgate East,Kentish Town,2
Aldgate East,Kew Gardens,1
Aldgate East,Kilburn,1
Aldgate East,Kilburn Park,1
Aldgate East,King's Cross St. Pancras,111
Aldgate East,Kingsbury,0
Aldgate East,Knightsbridge,12
Aldgate East,Ladbroke Grove,5
Aldgate East,Lambeth North,4
Aldgate East,Lancaster Gate,2
Aldgate East,Latimer Road,3
Aldgate East,Leicester Square,17
Aldgate East,Leyton,3
Aldgate East,Leytonstone,9
Aldgate East,Liverpool Street,47
Aldgate East,London Bridge,25
Aldgate East,Loughton,0
Aldgate East,Maida Vale,1
Aldgate East,Manor House,0
Aldgate East,Mansion House,80
Aldgate East,Marble Arch,7
Aldgate East,Marylebone,7
Aldgate East,Mile End,22
Aldgate East,Mill Hill East,0
Aldgate East,Moorgate,65
Aldgate East,Morden,2
Aldgate East,Mornington Crescent,2
Aldgate East,Neasden,0
Aldgate East,Newbury Park,0
Aldgate East,North Acton,3
Aldgate East,North Ealing,0
Aldgate East,North Greenwich,6
Aldgate East,North Harrow,0
Aldgate East,North Wembley,1
Aldgate East,Northfields,0
Aldgate East,Northolt,0
Aldgate East,Northwick Park,0
Aldgate East,Northwood,0
Aldgate East,Northwood Hills,0
Aldgate East,Notting Hill Gate,0
Aldgate East,Oakwood,0
Aldgate East,Old Street,7
Aldgate East,Osterley,1
Aldgate East,Oval,7
Aldgate East,Oxford Circus,50
Aldgate East,Paddington,67
Aldgate East,Park Royal,3
Aldgate East,Parsons Green,7
Aldgate East,Perivale,0
Aldgate East,Piccadilly Circus,61
Aldgate East,Pimlico,4
Aldgate East,Pinner,0
Aldgate East,Plaistow,9
Aldgate East,Preston Road,0
Aldgate East,Putney Bridge,12
Aldgate East,Queen's Park,1
Aldgate East,Queensbury,0
Aldgate East,Queensway,3
Aldgate East,Ravenscourt Park,5
Aldgate East,Rayners Lane,0
Aldgate East,Redbridge,0
Aldgate East,Regent's Park,0
Aldgate East,Richmond,16
Aldgate East,Roding Valley,0
Aldgate East,Royal Oak,3
Aldgate East,Ruislip,0
Aldgate East,Ruislip Manor,0
Aldgate East,Russell Square,5
Aldgate East,Seven Sisters,1
Aldgate East,Shepherd's Bush,2
Aldgate East,Shepherd's Bush Market,3
Aldgate East,Sloane Square,58
Aldgate East,Snaresbrook,2
Aldgate East,South Ealing,2
Aldgate East,South Harrow,0
Aldgate East,South Kensington,79
Aldgate East,South Ruislip,0
Aldgate East,South Wimbledon,2
Aldgate East,South Woodford,3
Aldgate East,Southfields,3
Aldgate East,Southgate,0
Aldgate East,Southwark,1
Aldgate East,St. James's Park,117
Aldgate East,St. John's Wood,2
Aldgate East,St. Paul's,4
Aldgate East,Stamford Brook,5
Aldgate East,Stanmore,0
Aldgate East,Stepney Green,38
Aldgate East,Stockwell,4
Aldgate East,Stonebridge Park,0
Aldgate East,Stratford,82
Aldgate East,Sudbury Hill,0
Aldgate East,Sudbury Town,0
Aldgate East,Swiss Cottage,1
Aldgate East,Temple,195
Aldgate East,Theydon Bois,0
Aldgate East,Tooting Bec,2
Aldgate East,Tooting Broadway,8
Aldgate East,Tottenham Court Road,45
Aldgate East,Tottenham Hale,0
Aldgate East,Totteridge & Whetstone,0
Aldgate East,Tower Hill,25
Aldgate East,Tufnell Park,0
Aldgate East,Turnham Green,6
Aldgate East,Turnpike Lane,0
Aldgate East,Upminster,0
Aldgate East,Upminster Bridge,0
Aldgate East,Upney,1
Aldgate East,Upton Park,12
Aldgate East,Uxbridge,0
Aldgate East,Vauxhall,19
Aldgate East,Victoria,31
Aldgate East,Walthamstow Central,0
Aldgate East,Wanstead,0
Aldgate East,Warren Street,3
Aldgate East,Warwick Avenue,1
Aldgate East,Waterloo,49
Aldgate East,Watford,0
Aldgate East,Wembley Central,0
Aldgate East,Wembley Park,1
Aldgate East,West Acton,0
Aldgate East,West Brompton,11
Aldgate East,West Finchley,0
Aldgate East,West Ham,13
Aldgate East,West Hampstead,4
Aldgate East,West Kensington,16
Aldgate East,West Ruislip,0
Aldgate East,Westbourne Park,5
Aldgate East,Westminster,100
Aldgate East,White City,4
Aldgate East,Whitechapel,81
Aldgate East,Willesden Green,0
Aldgate East,Willesden Junction,0
Aldgate East,Wimbledon,24
Aldgate East,Wimbledon Park,0
Aldgate East,Wood Green,0
Aldgate East,Wood Lane,12
Aldgate East,Woodford,1
Aldgate East,Woodside Park,1
All Saints,Bank and Monument,93
All Saints,Beckton,1
All Saints,Bow Church,74
All Saints,Canary Wharf,67
All Saints,Canning Town,9
All Saints,Crossharbour,4
All Saints,Custom House,0
All Saints,Cutty Sark,13
All Saints,Cyprus,1
All Saints,Deptford Bridge,10
All Saints,Devons Road,27
All Saints,East India,0
All Saints,Elverson Road,1
All Saints,Gallions Reach,4
All Saints,Greenwich,4
All Saints,Heron Quays,30
All Saints,Island Gardens,5
All Saints,Langdon Park,25
All Saints,Lewisham,21
All Saints,Limehouse,4
All Saints,London City Airport,1
All Saints,Mudchute,2
All Saints,Pontoon Dock,5
All Saints,Poplar,3
All Saints,Pudding Mill Lane,6
All Saints,Royal Albert,0
All Saints,Royal Victoria,0
All Saints,Shadwell,18
All Saints,South Quay,12
All Saints,Stratford,258
All Saints,Stratford International,9
All Saints,Tower Gateway,16
All Saints,West Ham,0
All Saints,West India Quay,11
All Saints,Westferry,1
All Saints,Woolwich Arsenal,5
Alperton,Acton Town,95
Alperton,Aldgate East,3
Alperton,Amersham,0
Alperton,Angel,4
Alperton,Arnos Grove,0
Alperton,Arsenal,0
Alperton,Baker Street,2
Alperton,Bank and Monument,7
Alperton,Barbican,0
Alperton,Barking,0
Alperton,Barons Court,32
Alperton,Bayswater,0
Alperton,Bermondsey,1
Alperton,Blackfriars,7
Alperton,Blackhorse Road,1
Alperton,Bond Street,1
Alperton,Boston Manor,17
Alperton,Bounds Green,0
Alperton,Brixton,4
Alperton,Caledonian Road,1
Alperton,Camden Town,0
Alperton,Canada Water,2
Alperton,Canary Wharf,7
Alperton,Canning Town,4
Alperton,Cannon Street,1
Alperton,Chalfont & Latimer,0
Alperton,Chancery Lane,3
Alperton,Charing Cross,1
Alperton,Chiswick Park,25
Alperton,Cockfosters,0
Alperton,Covent Garden,8
Alperton,Croxley,0
Alperton,Ealing Broadway,32
Alperton,Ealing Common,76
Alperton,Earl's Court,84
Alperton,East Ham,0
Alperton,East Putney,9
Alperton,Eastcote,14
Alperton,Edgware Road,0
Alperton,Elephant & Castle,3
Alperton,Embankment,0
Alperton,Euston,2
Alperton,Farringdon,1
Alperton,Finchley Road,1
Alperton,Finsbury Park,2
Alperton,Fulham Broadway,9
Alperton,Gloucester Road,16
Alperton,Goldhawk Road,2
Alperton,Goodge Street,1
Alperton,Green Park,22
Alperton,Gunnersbury,2
Alperton,Hammersmith,184
Alperton,Harrow-on-the-Hill,8
Alperton,Hatton Cross,37
Alperton,Heathrow Terminal 4,4
Alperton,Heathrow Terminal 5,6
Alperton,Heathrow Terminals 123,13
Alperton,High Barnet,0
Alperton,High Street Kensington,4
Alperton,Highbury & Islington,0
Alperton,Hillingdon,3
Alperton,Holborn,12
Alperton,Holloway Road,2
Alperton,Hounslow Central,18
Alperton,Hounslow East,47
Alperton,Hounslow West,21
Alperton,Hyde Park Corner,14
Alperton,Ickenham,5
Alperton,Kennington,1
Alperton,Kew Gardens,2
Alperton,King's Cross St. Pancras,15
